127.0.0.1 - - [18/Apr/2022:11:16:24 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:16:24 +0545] "GET /NijaamWebApplication/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:16:24 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:16:32 +0545] "GET /NijaamWebApplication/home?name=KAbiraj+Shrestha HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:20:09 +0545] "GET /NijaamWebApplication/ HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:20:25 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:22:58 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:36 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:53 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:54 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:54 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:54 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:55 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:55 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:25:59 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:26:42 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:27:14 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [18/Apr/2022:11:27:36 +0545] "GET /NijaamWebApplication/home?fName=Kabiraj&lName=Shrestha&email=rajkabee%40gmail.com HTTP/1.1" 200 192
